"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1702_C01_001E","Estimate!!All families!!Total!!Families"
"S1702_C01_001M","Margin of Error!!All families!!Total MOE!!Families"
"S1702_C01_001MA","Annotation of Margin of Error!!All families!!Total MOE!!Families"
"S1702_C01_001EA","Annotation of Estimate!!All families!!Total!!Families"
"S1702_C01_002E","Estimate!!All families!!Total!!Families!!With related children of householder under 18 years"
"S1702_C01_002M","Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years"
"S1702_C01_002MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years"
"S1702_C01_002EA","Annotation of Estimate!!All families!!Total!!Families!!With related children of householder under 18 years"
"S1702_C01_003E","Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_003EA","Annotation of Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_003M","Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_003MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_004E","Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_004EA","Annotation of Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_004M","Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_004MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_005E","Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17 years"
"S1702_C01_005M","Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17 years"
"S1702_C01_005MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17 years"
"S1702_C01_005EA","Annotation of Estimate!!All families!!Total!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17 years"
"S1702_C01_006E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_006EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_006M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_006MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_007E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_007EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_007M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_007MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_008E","Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C01_008EA","Annotation of Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C01_008M","Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C01_008MA","Annotation of Margin of Error!!All families!!Total MOE!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
