id,count name,total_fam,fam_kids_under_18,Estimate!!All families!!Total!!Families!!With related children of hoeholder under 18 years!!With related children of hoeholder under 5 years,Estimate!!All families!!Total!!Families!!With related children of hoeholder under 18 years!!With related children of hoeholder under 5 years and 5 to 17 years,Estimate!!All families!!Total!!Families!!With related children of hoeholder under 18 years!!With related children of hoeholder 5 to 17 years,White_fam,black_fam,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!American Indian and Alaska Native alone,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!Asian alone,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!Native Hawaiian and Other Pacific Islander alone,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!Some other race alone,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!Two or more races,Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!Hispanic or Latino origin (of any race),"Estimate!!All families!!Total!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a hoeholder who is--!!White alone, not Hispanic or Latino",Estimate!!All families!!Total!!Families!!Hoeholder worked,"Estimate!!All families!!Total!!Families!!Hoeholder worked!!Hoeholder worked full-time, year-round in the past 12 months",Estimate!!All families!!Total!!Families!!Hoeholder 65 years and over,Estimate!!All families!!Total!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months,Estimate!!All families!!Total!!Families!!Family received --!!Social security income in the past 12 months,Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOEHOLDER!!Less than high school graduate,Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOEHOLDER!!High school graduate (includes equivalency),"Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOEHOLDER!!Some college, associate's degree",Estimate!!All families!!Total!!Families!!EDUCATIONAL ATTAINMENT OF HOEHOLDER!!Bachelor's degree or higher,Estimate!!All families!!Total!!Families!!NUMBER OF RELATED CHILDREN OF THE HOEHOLDER UNDER 18 YEARS!!No child
16001,"Ada County, Idaho",104954,50751,8815,9175,32761,97547,1107,473,2569,166,1324,1768,6206,93026,79473,57674,19192,5911,24292,4154,17147,36442,47211,54203
16003,"Adams County, Idaho",1130,351,57,95,199,1084,0,27,0,0,7,12,21,1063,719,411,349,84,551,106,357,397,270,779
16005,"Bannock County, Idaho",20461,10336,2128,2666,5542,19110,64,516,226,12,211,322,1295,18190,14644,9513,3936,1887,5924,1095,4208,8625,6533,10125
16007,"Bear Lake County, Idaho",1735,745,166,223,356,1671,18,0,8,0,17,21,54,1644,1193,794,448,85,579,100,639,660,336,990
16009,"Benewah County, Idaho",2328,947,104,274,569,2094,3,165,37,0,0,29,36,2072,1537,927,589,163,826,242,762,834,490,1381
16011,"Bingham County, Idaho",11146,6036,954,1265,3817,9343,12,789,74,0,709,219,1657,8518,8369,5661,2215,668,3057,1336,3127,4281,2402,5110
16013,"Blaine County, Idaho",5159,2506,451,300,1755,4916,0,0,96,10,110,27,844,4205,4027,2475,1159,192,1316,602,648,1317,2592,2653
16015,"Boise County, Idaho",2080,654,135,61,458,2006,0,12,13,0,7,42,55,1958,1285,777,612,174,844,72,496,891,621,1426
16017,"Bonner County, Idaho",11558,4182,670,610,2902,11121,0,129,36,0,26,246,142,11035,7117,4004,3323,824,4654,817,3020,4541,3180,7376
16019,"Bonneville County, Idaho",27737,14792,2648,4004,8140,25563,115,118,244,11,1374,312,2554,24470,20764,14514,5096,2147,7093,1751,6118,10475,9393,12945
16021,"Boundary County, Idaho",2726,1175,105,282,788,2609,0,17,0,0,27,73,151,2527,1476,982,732,230,1054,271,852,998,605,1551
16023,"Butte County, Idaho",712,258,25,61,172,688,6,0,0,0,18,0,26,680,424,309,190,43,276,30,197,345,140,454
16025,"Camas County, Idaho",220,89,14,37,38,209,0,0,0,0,8,3,15,202,134,104,55,2,73,18,69,86,47,131
16027,"Canyon County, Idaho",48420,26238,3876,6684,15678,43326,231,578,434,119,2725,1007,9734,36841,34524,23920,9091,4006,13657,6933,13606,17751,10130,22182
16029,"Caribou County, Idaho",1858,924,118,249,557,1805,0,0,0,0,43,10,89,1759,1303,917,436,88,506,126,592,733,407,934
16031,"Cassia County, Idaho",6086,3316,528,1044,1744,5785,0,71,17,0,189,24,1487,4509,4591,3279,1088,295,1604,1173,1537,2306,1070,2770
